name,party,state,incumbent_challenge,candidate_id,office,active
"STEVENS, TRAVIS",DEMOCRATIC PARTY,DE,Challenger,S6DE00222,Senate,N
"STRATTON, JULIANA",DEMOCRATIC PARTY,IL,Open seat,S6IL00458,Senate,C
"STRUNGE, EDWARD IV",INDEPENDENT CONSERVATIVE DEMOCRATIC,SC,Challenger,S6SC04320,Senate,N
"SULLIVAN, DAN",REPUBLICAN PARTY,AK,Incumbent,S4AK00214,Senate,C
"SULLIVAN, DANIEL J",REPUBLICAN PARTY,AK,Challenger,S6AK00326,Senate,C
"SULLIVAN, JARED",DEMOCRATIC PARTY,NH,,S6NH00190,Senate,C
"SUNUNU, JOHN E",REPUBLICAN PARTY,NH,Open seat,S6NH00208,Senate,C
"SUTMAN, DAVID JR",INDEPENDENT,TN,Challenger,S6TN00398,Senate,C
"SWANN, CHRISTOPHER ALEXANDER",DEMOCRATIC PARTY,IL,Open seat,S6IL00409,Senate,C
"SWANSON, MICHAEL",DEMOCRATIC PARTY,TX,Challenger,S6TX00396,Senate,C
"SWEARENGIN, TAMMY",REPUBLICAN PARTY,OK,Challenger,S6OK04148,Senate,C
"SWEETSER, KYLE",DEMOCRATIC PARTY,AL,Open seat,S6AL00435,Senate,C
"TABOR, RICHARD JEROME SR",REPUBLICAN PARTY,NJ,Challenger,S6NJ00420,Senate,C
"TACHE, JOSEPH",OTHER,MA,Challenger,S6MA00288,Senate,C
"TAFOYA, MICHELE",REPUBLICAN PARTY,MN,Open seat,S6MN00556,Senate,C
"TALARICO, JAMES",DEMOCRATIC PARTY,TX,Challenger,S6TX00479,Senate,C
"TAMBORNINO, EDWARD HAROLD",UNAFFILIATED,MN,Open seat,S6MN00564,Senate,N
"TANEJA PERRY, NEELAM DR",REPUBLICAN PARTY,FL,Challenger,S6FL00871,Senate,N
"TATE, JOSEPH ALLEN",DEMOCRATIC PARTY,MI,Open seat,S6MI00459,Senate,C
"TAYLOR, NOAH",DEMOCRATIC PARTY,KS,Challenger,S6KS00296,Senate,C
"TEMPLE, ELIZABETH A.",REPUBLICAN PARTY,NC,,S6NC00548,Senate,N
"TEMPLE, RICK",REPUBLICAN PARTY,GA,Challenger,S6GA00309,Senate,N
"THOMAS, N'KIYLA JASMINE - ANN",DEMOCRATIC PARTY,OK,Challenger,S6OK04163,Senate,C
"THOMPSON, VINCENT ANTHONY",DEMOCRATIC PARTY,KY,Open seat,S6KY00310,Senate,N
"TILLIS, THOM R SEN",REPUBLICAN PARTY,NC,Incumbent,S4NC00162,Senate,C
"TILLMAN, JIMMY LEE II",REPUBLICAN PARTY,IL,Open seat,S2IL00234,Senate,N
"TILL, PRISCILLA WILLIAMS",DEMOCRATIC PARTY,MS,Challenger,S6MS00158,Senate,C
"TILL, PRISCILLA WILLIAMS",DEMOCRATIC PARTY,MS,Challenger,S6MS00141,Senate,C
"TOMAINI, GREGORY RICHARD COLONEL",DEMOCRATIC PARTY,NJ,Challenger,S6NJ00362,Senate,N
"TOULME, ALIX CHRISTOPHER MR. JR.",REPUBLICAN PARTY,FL,Challenger,S4FL00769,Senate,N
"TRACY, DON",REPUBLICAN PARTY,IL,Open seat,S6IL00615,Senate,C
"TRAKAS, ANDREW KYLE",REPUBLICAN PARTY,TX,Challenger,S6TX00529,Senate,N
"TRIMBLE, JACOB DANIEL",REPUBLICAN PARTY,KY,Open seat,S6KY00203,Senate,N
"TRUELSON, HANS",NONE,TX,Challenger,S6TX00487,Senate,N
"TUBERVILLE, THOMAS H",REPUBLICAN PARTY,AL,Incumbent,S0AL00230,Senate,C
"TUREK, JOSHUA",DEMOCRATIC PARTY,IA,Open seat,S6IA00298,Senate,C
"VINDMAN, ALEXANDER",DEMOCRATIC PARTY,FL,Challenger,S6FL00855,Senate,C
"VIRTS, TERRY",DEMOCRATIC PARTY,TX,Challenger,S6TX00412,Senate,C
"VOLPE, CHRISTOPHER",DEMOCRATIC PARTY,OH,Challenger,S6OH00346,Senate,N
"VOLPE, CHRISTOPHER",DEMOCRATIC PARTY,OH,Challenger,S6OH00353,Senate,N
"WADLIN, JEFFREY FRANCIS",LIBERTARIAN PARTY,AR,Challenger,S6AR00223,Senate,C
"WAHLS, ZACH P",DEMOCRATIC PARTY,IA,Open seat,S6IA00272,Senate,C
"WALKER, JABARIE",DEMOCRATIC PARTY,LA,Challenger,S6LA00631,Senate,N
"WALKER, JABARIE",DEMOCRATIC PARTY,LA,Challenger,S6LA00649,Senate,N
"WALKER, JABARIE",DEMOCRATIC PARTY,LA,Challenger,S6LA00623,Senate,N
"WALKER, RODNEY",REPUBLICAN PARTY,AL,Open seat,S6AL00468,Senate,C
"WALKINGCHILD, CHARLES SR",REPUBLICAN PARTY,MT,Open seat,S4MT00209,Senate,N
"WALLS-WINDHAUSER, ANGELA MARIE",REPUBLICAN PARTY,FL,Challenger,S6FL00442,Senate,N
"WARD III, JUSTIN HARVEY RANDOLPH",DEMOCRATIC PARTY,MD,,S6MD03680,Senate,N
"WARNER, MARK ROBERT",DEMOCRATIC PARTY,VA,Incumbent,S6VA00093,Senate,C
"WASHINGTON, WAYNE LONNY DR.",REPUBLICAN PARTY,OK,Challenger,S6OK04221,Senate,N
"WATERS, ALLEN",REPUBLICAN PARTY,RI,Challenger,S6RI00262,Senate,N
"WATKINS, VINSON L",REPUBLICAN PARTY,GA,Challenger,S6GA00283,Senate,N
"WEBB, ASHLEY JAMES",DEMOCRATIC PARTY,ME,Challenger,S6ME00480,Senate,N
"WEILER, TOM",REPUBLICAN PARTY,MN,Open seat,S6MN00515,Senate,C
"WEIL, JOSHUA",DEMOCRATIC PARTY,FL,Challenger,S2FL00466,Senate,C
"WEIL, JOSHUA JOSEPH",DEMOCRATIC PARTY,FL,Challenger,S6FL00756,Senate,C
"WENZEL, DONALD RAY",REPUBLICAN PARTY,KY,,S6KY00393,Senate,N
"WESS, EVERETT W",DEMOCRATIC PARTY,AL,Open seat,S6AL00518,Senate,C
"WHATLEY, MICHAEL",REPUBLICAN PARTY,NC,Open seat,S6NC00415,Senate,C
"WHEELER, MARK SHANNON MR II",DEMOCRATIC PARTY,AL,Open seat,S6AL00393,Senate,C
"WHITENER, KASIE DR.",LIBERTARIAN PARTY,SC,Challenger,S6SC04247,Senate,C
"WHITE, ROYCE",REPUBLICAN PARTY,MN,Open seat,S4MN00502,Senate,C
"WHITFIELD, DANIEL ALLEN",DEMOCRATIC PARTY,AR,Challenger,S0AR00218,Senate,N
"WHITING, REBECCA",LIBERTARIAN PARTY,MN,Open seat,S6MN00572,Senate,N
"WHITSON, CATHERINE BARCEL MS BARCY",INDEPENDENT,TN,Challenger,S6TN00414,Senate,N
"WILLETT, JOEL",DEMOCRATIC PARTY,KY,Open seat,S6KY00336,Senate,C
"WILLIAMS, DAVID EARL MR.",REPUBLICAN PARTY,VA,Challenger,S6VA00200,Senate,C
"WILLIAMS, JESSICA",DEMOCRATIC PARTY,CO,Challenger,S6CO00531,Senate,N
"WILLIAMS, MARCUS W.",DEMOCRATIC PARTY,NC,Open seat,S8NC00270,Senate,C
"WILLIAMS, PAULA STEPHEN MS",DEMOCRATIC PARTY,TX,Challenger,S6TX00537,Senate,N
"WILLIS, THOMAS EDWARD II",REPUBLICAN PARTY,WV,Challenger,S6WV00162,Senate,C
"WILLIS, VALERIE LEE",INDEPENDENT,MI,,S8MI00422,Senate,N
"WILSON, S. MARSHALL",CONSTITUTION PARTY,WV,,S6WV00204,Senate,N
"WINDHAUSER, ANGIE",REPUBLICAN PARTY,FL,Challenger,S6FL00814,Senate,N
"WITHROW, ADAM",UNITED PARTY,CO,Challenger,S6CO00564,Senate,N
"WOOD, JORDAN",DEMOCRATIC PARTY,ME,Challenger,S6ME00332,Senate,C
"WOOD, MATTHEW",INDEPENDENT,CO,Challenger,S6CO00432,Senate,N
"WRIGHT-MCDONALD, REECE",INDEPENDENT,SC,Challenger,S6SC04205,Senate,N
"WRIGHT-MCDONALD, REECE",REPUBLICAN PARTY,SC,,S6SC04429,Senate,N
"WYATT, DOC LEO DR",REPUBLICAN PARTY,TX,Challenger,S6TX00313,Senate,N
"WYATT, SAMUEL LEE MR.",REPUBLICAN PARTY,LA,Challenger,S6LA00532,Senate,C
"YEN, ERVIN STONE DR",DEMOCRATIC PARTY,OK,Challenger,S6OK04270,Senate,C
"YORK, MARK",REPUBLICAN PARTY,MN,Open seat,S6MN00549,Senate,C
"YOUNG, ALEEM MR",DEMOCRATIC PARTY,IN,Challenger,S6IN00274,Senate,N
"ZDAN, ALEX",REPUBLICAN PARTY,NJ,Challenger,S6NJ00412,Senate,C
"ZIMPFER, ANTHONY JACOB",DEMOCRATIC PARTY,CO,Challenger,S6CO00465,Senate,N
"ZOLLNER, TRAVIS JOSEPH",DEMOCRATIC PARTY,MI,Open seat,S6MI00483,Senate,N
